Th II | 541.543290 | 780 | 5f.(2F*).6d2.(3F) | 5f.6d.(3H*).7p
Th I | 541.552259 | 1600 | 5f.6d.7s2 | *
Th I | 541.748576 | 12000 | 6d2.7s2 | *
Th I | 542.400780 | 2500 | 5f.6d.7s2 | 5f.6d.7s.7p
Th II | 542.567827 | 1200 | 5f.6d.(3G*).7s | 6d3
Th I | 543.111180 | 3100 | 6d3.(4F).7s | *
Th I | 543.415146 | 1400 | 6d2.7s2 | *
Th II | 543.589251 | 930 | 5f.6d.(3F*).7s | 5f.7s.(3F*).7p
Th II | 543.738774 | 690 | 6d3 | 5f.(2F*).6d2.(3F)
Th I | 544.060140 | 680 | 6d3.(4F).7s | *
Th II | 544.311874 | 600 | 6d2.(3F).7s | 5f.(2F*).6d2.(3P)
Th II | 544.947878 | 1100 | 5f.(2F*).6d2.(3F) | 5f2.(3H).6d
Th I | 545.221868 | 3800 | 6d3.(4F).7s | *
Th II | 546.261293 | 510 | 5f.(2F*).6d2.(3F) | 5f.7s.(1F*).7p
Th I | 546.420525 | 1700 | 6d2.7s2 | 5f.6d.7s2
Th I | 547.075906 | 1400 | 6d2.7s2 | *
Th II | 547.486497 | 500 | 6d2.(3F).7s | 5f.(2F*).6d2.(3P)
Th I | 549.264334 | 2800 | 6d3.(4F).7s | *
Th I | 549.320404 | 970 | 6d3.(4F).7s | *
Th I | 549.433059 | 1300 | 6d3.(4F).7s | *
Th I | 549.613688 | 2200 | 6d3.(4F).7s | *
Th I | 549.925521 | 11000 | 6d2.7s2 | *
Th I | 549.964763 | 670 | 6d3.(4F).7s | *
Th I | 550.128149 | 680 | 5f.6d.7s2 | *
Th I | 550.430201 | 2800 | 6d2.7s2 | *
Th I | 550.753854 | 700 | 6d2.7s2 | 5f.6d2.7s
Th I | 550.855849 | 540 | 5f.6d.7s2 | *
Th I | 550.999360 | 5400 | 6d3.(4F).7s | *
Th I | 551.487297 | 3500 | 5f.6d.7s2 | 6d4
Th I | 551.898957 | 640 | 5f.6d2.7s | *
Th I | 552.175325 | 500 | 5f.6d2.7s | 5f.6d2.7p
Th I | 552.458262 | 1100 | 5f.6d.7s2 | *
Th I | 552.729515 | 530 | 5f.6d.7s2 | *
Th I | 552.822750 | 560 | 6d.7s2.7p | *
Th I | 553.860821 | 770 | 6d2.7s2 | 5f.6d2.7s
Th I | 553.926178 | 14000 | 6d3.(4F).7s | *
Th II | 553.991055 | 1700 | 5f.6d.(3G*).7s | 5f.7s.(3F*).7p
Th I | 554.289013 | 2400 | 5f.6d.7s2 | *
Th I | 554.817596 | 5100 | 6d3.(4F).7s | *
Th II | 555.137202 | 660 | 5f.6d.(3G*).7s | 5f2.(3F).7s
Th I | 555.262300 | 530 | 5f.6d.7s2 | 6d4
Th I | 555.55313 | 520 | 5f.6d.7s2 | *
Th I | 555.704562 | 4800 | 6d3.(4F).7s | *
Th I | 555.834239 | 6600 | 6d2.7s2 | *
Th I | 555.989125 | 2200 | 6d2.7s2 | 6d2.7s.7p
Th II | 556.420118 | 700 | 5f.(2F*).6d2.(3F) | 5f.6d.(3H*).7p
Th I | 556.799862 | 720 | 5f.6d2.7s | *
Th I | 557.119145 | 4900 | 5f.6d.7s2 | *
Th I | 557.246501 | 3300 | 6d3.(4F).7s | *
Th I | 557.335362 | 10000 | 6d2.7s2 | *
Th I | 557.620476 | 2200 | 5f.6d.7s2 | 5f.7s2.7p
Th I | 557.935838 | 4900 | 6d3.(4F).7s | *
Th I | 558.007691 | 530 | 6d2.7s2 | *
Th II | 558.376213 | 620 | 6d2.(3P).7s | 5f.(2F*).6d2.(3F)
Th I | 558.702644 | 20000 | 6d2.7s2 | *
Th I | 559.361205 | 820 | 6d2.7s2 | 5f.6d2.7s
Th I | 559.506368 | 4900 | 5f.6d.7s2 | *
Th I | 559.965504 | 590 | 6d3.(4F).7s | *
Th II | 560.04670 | 580 | 6d.7s.(3D).7p | 5f2.6d+5f.6d.7p
Th I | 560.160316 | 5000 | 6d2.7s2 | 5f.6d.7s2
Th II | 560.451562 | 1100 | 6d.7s2 | 5f.6d.(3P*).7s
Th I | 560.638609 | 930 | 5f.6d.7s2 | *
Th I | 561.010443 | 1400 | 6d3.(4F).7s | *
